disease,name,n_terms,sum,mean_dist,max_dist,min_dist,std_dist
5386,TBCD (OMIM:617193),182,87703.59138131373,5.324727787099371,9.115016436983657,0.0007031720066138041,1.4974468034891744
5387,TBCE (OMIM:241410),134,42758.90000885883,4.798440131170332,8.928031774842259,8.056775098936292e-05,1.5294334362477793
5388,TBCE (OMIM:244460),81,14053.882923054087,4.337618186127805,8.814282888046584,8.056775098936292e-05,1.5359868733723978
5389,TBCE (OMIM:617207),77,14426.166809376,4.930337255425838,8.82247903241791,0.009198308701206151,1.444043554809833
5390,TBCK (OMIM:616900),134,42760.500518950575,4.798619741774276,8.585121287077502,4.395661259112839e-05,1.3963305086427136
5391,TBK1 (OMIM:616439),60,8316.800848124778,4.698757541313434,9.022650362035247,0.0029392195486610383,1.4306341252995354
5392,TBK1 (OMIM:617900),30,2210.445233043943,5.081483294353892,8.224411306505695,0.00209953458614878,1.6690834055674135
5393,TBL1X (OMIM:301033),52,6322.054401296376,4.767763500223512,8.825567041161253,0.00011361266494711034,1.6164603482864859
5394,TBL1XR1 (OMIM:602342),164,66563.02773372353,4.980026016289356,8.843456652150403,2.000000165480742e-10,1.3974635918680567
5395,TBL1XR1 (OMIM:616944),43,4230.596028924515,4.685045436239773,8.652645665774674,0.0005412573883512041,1.57847336313906
5396,TBL1Y (OMIM:400047),7,67.17848022202988,3.198975248668089,4.662535130851787,0.3980917516456417,1.227516412457778
5397,TBP (OMIM:607136),95,24507.798207210835,5.488868579442516,8.984451304575341,0.00046514196955248867,1.490877380173824
5398,TBR1 (OMIM:606053),53,6685.904872066609,4.851890328059948,8.35151082614376,0.0005689965370294645,1.5101576705188533
5399,TBX1 (OMIM:188400),278,205803.02119813606,5.345116515547777,9.321638463352935,2.000000165480742e-10,1.4422140887504846
5400,TBX15 (OMIM:260660),208,111961.81443813234,5.2007531790288155,8.735233101942823,0.0001473428281572063,1.4355790890900293
5401,TBX18 (OMIM:143400),32,2521.9456645157534,5.084567872007567,8.778569672337238,0.0001473428281572063,1.7309646662923763
5402,TBX19 (OMIM:201400),37,2945.7117762557273,4.42299065503863,8.357733152561956,0.27836368617753093,1.4958283777923662
5403,TBX2 (OMIM:618223),180,80743.14711151895,5.01198926825071,9.026430874970412,7.104736562826131e-05,1.4965308330158424
5404,TBX20 (OMIM:611363),15,391.4040016981027,3.7276571590295497,7.429675727324129,0.473594995891922,1.5427571218866358
5405,TBX21 (OMIM:619630),19,713.4397444867227,4.172162248460367,7.87830894203768,0.2068602661757259,1.4468739248759575
5406,TBX22 (OMIM:302905),53,6305.436936039781,4.575788777967911,8.521618706375456,0.3412569820419564,1.3730366462392738
5407,TBX22 (OMIM:303400),14,366.97727391266733,4.032717295743597,7.513322345707042,0.7388212240972487,1.518160356628947
5408,TBX3 (OMIM:181450),171,76253.45185057959,5.246195517755734,9.266344308473162,0.0001657766422300117,1.5649893944464555
5409,TBX4 (OMIM:147891),71,11495.965512188694,4.626143063255007,8.250594107806686,0.0012035071238519705,1.485911948537073
5410,TBX4 (OMIM:601360),6,34.6136179097261,2.3075745273150736,3.9873513015049045,0.7154510495873228,0.8682954816221984
5411,TBX5 (OMIM:142900),294,248971.26754381318,5.780484956091412,9.831694806030598,7.393453312369341e-05,1.5329420661162487
5412,TBX6 (OMIM:122600),55,7288.744044033069,4.908245147497016,8.859873976883755,0.00036094220643242167,1.5715625572820382
5413,TBXA2R (OMIM:614009),26,1528.2853495742131,4.702416460228348,8.685879812179927,0.021118882200204435,1.755526399087407
5414,TBXAS1 (OMIM:231095),31,2463.6937025593675,5.298266027009392,8.912035220416813,0.0013984767725301699,1.9917309718365777
5415,TBXT (OMIM:615709),25,1269.9471502851313,4.2331571676171045,7.730120121093816,0.00031984864419684893,1.4936541247311779
5416,TCAP (OMIM:601954),47,5590.263284315639,5.171381391596336,9.190194003662649,0.0015990505493633342,1.9745225422881472
5417,TCAP (OMIM:607487),17,623.6410750107539,4.585596139784955,7.73349516317829,0.0016774853343257336,1.7911664288210807
5418,TCEAL1 (OMIM:301094),102,26252.420033816197,5.096567663330654,8.894872634603368,4.395661259112839e-05,1.5722278798841436
5419,TCF12 (OMIM:615314),82,15222.876473276385,4.583823087406318,8.287706042422752,5.9439822204979764e-05,1.4953061258526357
5420,TCF12 (OMIM:619718),89,20176.780735617333,5.152395489177051,8.773554522770949,0.0001213039522527137,1.5202685702333103
5421,TCF20 (OMIM:618430),131,43795.86655353804,5.143378338642166,8.897573821460998,2.000000165480742e-10,1.508292340157665
5422,TCF3 (OMIM:616941),22,1068.3531505965057,4.624905413837687,8.224078714405287,0.00010563534348670766,1.6598591625128578
5423,TCF3 (OMIM:619824),89,20163.546541845833,5.149015970849294,9.12807568360509,0.00010563534348670766,1.5767975011145945
5424,TCF4 (OMIM:610954),185,85426.82811574105,5.019202591994186,9.003542446415487,2.000000165480742e-10,1.4213978514497203
5425,TCF4 (OMIM:613267),14,407.26152605272205,4.475401385194748,8.105491742375728,0.0003797032882271751,1.8671065555916921
5426,TCHH (OMIM:617252),6,52.50927265679558,3.5006181771197054,5.350691257796713,0.0031111550003862197,1.8213583738613701
5427,TCIRG1 (OMIM:259700),132,41188.19094046551,4.763843504564598,9.126815669007158,0.0007145103008383936,1.5723233563002825
5428,TCN2 (OMIM:275350),89,20587.29921088273,5.257226560490993,9.133679514606659,0.006829839193248843,1.5715338089545172
5429,TCOF1 (OMIM:154500),123,37982.92131249976,5.062364562508298,8.814653792255434,0.00015294580467822567,1.3863800956486612
5430,TCTN1 (OMIM:614173),20,733.894998827916,3.8626052569890312,7.495390601073944,0.15660746171596746,1.6014837152038819
5431,TCTN2 (OMIM:613885),85,17010.28597472282,4.764785987317317,8.815361350241083,0.012680465249425172,1.4717048524310608
5432,TCTN2 (OMIM:616654),69,11495.384854424752,4.899993544085572,8.368136111089411,0.09459494695065138,1.4997729159926931
5433,TCTN3 (OMIM:258860),89,17672.14420947483,4.5128049564542465,8.44145183725695,0.09547380747933107,1.3884148247385515
5434,TCTN3 (OMIM:614815),111,28999.929425662987,4.7501931901167875,8.789156748701284,0.00022366396974664592,1.4152448047179456
5435,TDO2 (OMIM:600627),104,25727.868685763686,4.8035602475286945,8.810625430682554,0.0011342589495837805,1.506051463050584
5436,TDP1 (OMIM:607250),70,12383.05074596759,5.127557244707076,8.802038284270553,0.0006461379115094649,1.5441252710401852
5437,TDP2 (OMIM:616949),59,8015.802610950152,4.684864179398102,8.74872423624211,0.00038532815235779185,1.5572994564698668
5438,TDRD7 (OMIM:613887),6,43.793609628716716,2.919573975247781,4.054137999307631,0.7609453784098479,0.9804028881764562
5439,TDRD9 (OMIM:618110),21,1072.379551090813,5.1065692909086335,8.248384977511561,0.000803149581822378,1.938505735261612
5440,TEAD1 (OMIM:108985),18,654.8917050514772,4.280337941512923,8.068556642751231,2.000000165480742e-10,1.6919560167928493
5441,TECPR2 (OMIM:615031),106,27102.971974133718,4.87025552095844,8.908085989829646,0.0010221449047190993,1.4370138556807157
5442,TECR (OMIM:614020),27,1489.75722912387,4.244322590096496,7.672113233915624,0.0011901076561597205,1.5039178912603741
5443,TECRL (OMIM:614021),21,1177.5554450698214,5.607406881284864,9.024781183244007,0.0001928074247934363,2.250209736782319
5444,TECTA (OMIM:601543),7,67.17848022202988,3.198975248668089,4.662535130851787,0.3980917516456417,1.227516412457778
5445,TECTA (OMIM:603629),7,67.17848022202988,3.198975248668089,4.662535130851787,0.3980917516456417,1.227516412457778
5446,TEFM (OMIM:620451),144,52040.04291148222,5.054394222171933,8.908085989829646,0.0001327613358585333,1.4264879929107204
5447,TEK (OMIM:600195),17,487.87174853903207,3.5872922686693536,6.229246808185327,0.473594995891922,1.2052783708684474
5448,TEK (OMIM:617272),22,1097.659405525977,4.751772318294273,8.451167451826679,0.00018764551122922086,1.798190858833769
5449,TEKT3 (OMIM:620277),29,2061.2895939460664,5.0770679653843995,8.566164424851095,0.000803149581822378,1.8100231722216802
5450,TELO2 (OMIM:616954),102,24213.285782435752,4.700696133262619,8.527832132835597,0.0012542473006674731,1.3651680302813394
5451,TENM3 (OMIM:615145),70,12455.365566721217,5.157501269863858,8.74832263769285,0.00017449449899708947,1.5039439739766356
5452,TENM4 (OMIM:616736),15,389.36431092983804,3.708231532665124,7.826906577925715,0.0011901076561597205,2.323245520045895
5453,TENT5A (OMIM:617952),88,16974.659979001728,4.434341687304527,9.15105123769202,0.0007234721597415179,1.3702277834825514
5454,TERB1 (OMIM:619646),13,360.0192848341918,4.615631856848613,7.339821052931584,0.000803149581822378,2.2062082622839783
5455,TERB2 (OMIM:619645),13,360.0192848341918,4.615631856848613,7.339821052931584,0.000803149581822378,2.2062082622839783
5456,TERT (OMIM:613989),121,35824.65358140487,4.934525286694885,9.223393158840036,0.00034846550864526177,1.522400547551624
5457,TERT (OMIM:614742),78,14642.512920776848,4.875961678580369,9.222894637916186,0.0005727427745271421,1.6960892615347662
5458,TERT (OMIM:615134),4,13.987310913634659,2.3312184856057763,3.319031540265919,0.7126650421225125,0.870407097105546
